date,leetcode,capstone,projects,misc,sleep_hours,sleep_quality,mood,stress,energy,daily_productivity
2025-06-06,1,0,1,0,7.5,9,7,1,6,8
2025-06-07,1,0,0,1,6.9,5,5,5,4,6
2025-06-08,1,1,0,1,6.9,5,6,5,6,8
2025-06-09,1,0,0,1,9.2,10,9,4,9,8
2025-06-10,0,0,1,0,8.0,7,8,1,9,9
2025-06-11,0,0,0,0,6.7,4,5,5,4,5
2025-06-12,1,1,0,1,7.3,10,8,3,6,8
2025-06-13,1,1,1,1,9.4,7,7,3,8,10
2025-06-14,1,1,1,0,6.1,7,5,6,6,8
2025-06-15,1,1,1,1,6.9,5,4,3,6,10
2025-06-16,1,1,1,0,7.2,8,6,2,6,9
2025-06-17,1,1,1,1,9.7,9,7,3,8,10
2025-06-18,1,1,0,0,8.1,8,7,2,9,9
2025-06-19,1,0,0,0,7.3,10,8,4,7,7
2025-06-20,1,1,0,0,7.4,7,6,1,9,9
2025-06-21,1,1,1,1,6.3,5,5,4,5,9
2025-06-22,1,1,0,1,5.6,7,5,4,6,8
2025-06-23,1,1,0,0,4.3,2,2,8,2,5
2025-06-24,1,1,1,1,5.8,6,6,4,6,10
2025-06-25,1,1,1,0,5.6,6,5,4,5,8
2025-06-26,1,0,1,1,7.7,10,7,3,8,9
2025-06-27,1,1,0,1,7.6,10,7,2,7,9
2025-06-28,1,1,1,0,6.3,6,5,3,4,8
2025-06-29,1,0,0,0,7.3,10,7,4,8,8
2025-06-30,1,0,0,1,6.5,5,5,4,6,6
2025-07-01,0,1,0,0,7.8,7,7,1,6,8
2025-07-02,0,1,0,0,8.5,9,6,4,9,8
2025-07-03,1,1,1,0,7.6,8,8,2,9,10
2025-07-04,1,1,0,0,4.8,2,2,10,1,4
2025-07-05,1,1,1,0,7.3,8,6,4,7,9
2025-07-06,0,1,0,0,6.8,7,6,6,6,6
2025-07-07,0,0,1,0,3.9,2,3,7,1,4
2025-07-08,1,1,1,1,8.1,8,8,4,9,10
2025-07-09,1,0,0,1,7.2,10,8,4,7,7
2025-07-10,1,1,0,0,6.3,4,6,5,5,7
2025-07-11,1,1,0,1,7.6,10,7,4,7,8
2025-07-12,0,1,1,1,9.3,9,6,4,6,8
2025-07-13,1,0,1,1,6.6,4,6,5,5,7
2025-07-14,0,1,0,1,6.9,4,4,6,5,6
2025-07-15,1,0,0,0,7.3,7,9,3,9,8
2025-07-16,1,0,1,1,7.9,7,6,4,7,8
2025-07-17,1,1,0,1,9.1,9,8,1,7,9
2025-07-18,1,0,0,0,7.6,9,6,2,8,8
2025-07-19,0,0,1,0,8.2,7,9,3,7,8
2025-07-20,1,1,1,0,5.8,5,5,4,5,8
2025-07-21,1,1,1,0,8.2,7,6,2,9,10
2025-07-22,0,1,0,1,6.7,4,5,3,4,6
2025-07-23,1,1,0,1,5.9,7,6,6,6,7
2025-07-24,1,0,0,1,7.5,9,7,4,7,7
2025-07-25,0,1,0,1,5.1,4,6,3,6,7
2025-07-26,0,0,1,0,7.6,7,9,4,7,8
2025-07-27,1,1,1,0,9.1,9,9,2,9,10
2025-07-28,0,0,0,0,4.8,1,3,10,1,2
2025-07-29,0,0,0,1,5.1,4,4,6,5,5
2025-07-30,1,1,0,0,8.6,9,8,4,9,9
2025-07-31,1,1,0,0,4.8,1,2,9,4,5
2025-08-01,1,1,1,1,5.6,4,4,3,5,9
2025-08-02,0,1,1,0,5.2,6,5,6,5,7
2025-08-03,0,1,0,1,8.0,10,6,1,6,7
2025-08-04,0,0,1,0,7.2,9,7,2,9,8
2025-08-05,1,1,0,0,6.2,5,4,4,4,7
2025-08-06,0,1,1,1,8.0,8,9,2,6,9
2025-08-07,1,0,1,0,6.7,4,5,5,6,7
2025-08-08,1,1,1,1,7.5,8,6,1,9,10
2025-08-09,1,1,1,0,9.8,9,6,2,6,9
2025-08-10,1,0,0,0,6.6,4,4,4,6,6
2025-08-11,1,1,1,0,8.3,8,9,3,9,10
2025-08-12,1,0,1,0,9.9,9,7,4,7,8
2025-08-13,1,1,1,0,4.5,2,1,10,2,5
2025-08-14,0,1,1,0,6.6,5,4,4,5,7
2025-08-15,1,1,1,1,7.9,10,9,4,9,10
2025-08-16,1,1,0,0,6.6,5,4,5,5,7
2025-08-17,0,1,1,1,6.9,7,4,6,5,7
2025-08-18,0,0,0,1,6.9,5,5,4,4,5
2025-08-19,1,0,1,1,10.0,10,7,3,7,8
2025-08-20,0,1,1,0,6.1,4,6,5,5,7
2025-08-21,0,1,1,0,6.2,6,5,4,4,7
2025-08-22,1,0,1,0,7.3,10,8,2,9,9
2025-08-23,1,0,0,0,6.9,4,6,6,5,6
2025-08-24,0,1,0,0,7.4,9,8,4,6,7
2025-08-25,0,1,1,1,3.6,1,3,8,1,5
2025-08-26,1,1,1,0,7.4,9,6,3,7,9
2025-08-27,0,0,1,1,7.2,8,9,3,8,8
2025-08-28,1,1,0,1,6.7,4,4,4,4,7
2025-08-29,1,1,0,0,7.1,8,8,2,6,8
2025-08-30,1,1,0,0,5.6,4,5,3,4,7
2025-08-31,0,1,0,0,10.0,10,6,2,9,8
2025-09-01,1,1,1,1,7.4,8,9,3,9,10
2025-09-02,1,1,1,1,7.6,9,9,2,7,10
2025-09-03,1,0,0,0,7.3,10,9,1,8,8
